桌号,队伍A,队员A1,队员A2,俱乐部A,队伍B,队员B1,队员B2,俱乐部B,同俱乐部
1,钻石风暴,冯静,董娟,,龙行天下,苏伟,蒋刚,,
2,纵横四海,蔡丽,潘秀,,乘风破浪,齐虹,殷霞,,
3,步步高升,尤超,霍磊,,青春无悔,柴静,闵娟,奥克兰掼协,
4,风云双雄,杨洋,周杰,风云掼蛋社,黑桃ACE,秦明,任杰,东区华人联谊会,
5,群英荟萃,颜丽,乔秀,北岸华人协会,秋风落叶,柳强,易刚,奥克兰掼协,
6,一马当先,夏伟,季明,南山掼蛋俱乐部,旗开得胜,巴军,舒勇,野火掼蛋联盟,
7,西区猎豹,郑浩,马超,西区体育俱乐部,盛夏光年,姚婷,谭丽,,
8,龙马精神,刁军,米杰,,北岸龙腾,孙磊,钱峰,北岸华人协会,
9,星河万里,范玲,方敏,野火掼蛋联盟,雷霆战队,王芳,赵丽,奥克兰掼协,
10,碧海蓝天,高雪,罗丽,,紫荆花开,吕强,丁勇,东区华人联谊会,
11,春暖花开,陆芳,邢艳,野火掼蛋联盟,星空战队,温伟,向亮,,
12,万里挑一,费强,阮刚,中区康养中心,梅花三弄,钟静,崔霞,,
13,方块先锋,段超,常磊,中区康养中心,南山闪电,张伟,李明,南山掼蛋俱乐部,
14,南山雄狮,朱建华,胡伟,南山掼蛋俱乐部,雪山飞狐,曹芳,魏琳,风云掼蛋社,
15,勇冠三军,尹飞,汪峰,西区体育俱乐部,锦上添花,褚芳,卓艳,东区华人联谊会,
16,旭日东升,安婷,郝丽,风云掼蛋社,中区飞鹰,黄敏,吴婷,中区康养中心,
17,新世纪,田超,邱磊,西区体育俱乐部,钢铁洪流,邓军,肖勇,南山掼蛋俱乐部,
18,虎虎生威,翟强,和刚,奥克兰掼协,野火燎原,林小红,许艳,野火掼蛋联盟,
19,冬日暖阳,莫芳,邹艳,,风起云涌,姜静,石娟,,
20,鸿运当头,涂芳,万艳,,卧虎藏龙,赖强,贾刚,,
21,红心战队,龙伟,徐亮,风云掼蛋社,东区虎啸,刘强,陈刚,东区华人联谊会,
22,黄金搭档,谢军,唐亮,奥克兰掼协,凤舞九天,沈虹,韩霞,中区康养中心,
23,破浪前行,何飞,贺峰,北岸华人协会,吉祥如意,穆丽,薛秀,西区体育俱乐部,
24,大吉大利,谷飞,迟峰,北岸华人协会,旭日战队,焦伟,耿明,,
