队伍名称,队员1,性别1,队员2,性别2,所属俱乐部/社团,当前积分,净积小分,累积小分
南山闪电,张伟,男,李明,男,南山掼蛋俱乐部,7.0,9,36
雷霆战队,王芳,女,赵丽,女,奥克兰掼协,7.0,-8,26
东区虎啸,刘强,男,陈刚,男,东区华人联谊会,5.0,-20,14
风云双雄,杨洋,男,周杰,男,风云掼蛋社,7.0,22,37
中区飞鹰,黄敏,女,吴婷,女,中区康养中心,5.0,-6,25
北岸龙腾,孙磊,男,钱峰,男,北岸华人协会,9.0,18,39
西区猎豹,郑浩,男,马超,男,西区体育俱乐部,7.0,6,34
野火燎原,林小红,女,许艳,女,野火掼蛋联盟,5.0,-2,29
南山雄狮,朱建华,男,胡伟,男,南山掼蛋俱乐部,7.0,22,36
碧海蓝天,高雪,女,罗丽,女,,7.0,-9,26
黄金搭档,谢军,男,唐亮,男,奥克兰掼协,5.0,-15,16
钻石风暴,冯静,女,董娟,女,,9.0,26,39
紫荆花开,吕强,男,丁勇,男,东区华人联谊会,7.0,12,37
雪山飞狐,曹芳,女,魏琳,女,风云掼蛋社,5.0,-2,23
龙行天下,苏伟,男,蒋刚,男,,7.0,12,29
凤舞九天,沈虹,女,韩霞,女,中区康养中心,3.0,-25,11
破浪前行,何飞,男,贺峰,男,北岸华人协会,5.0,-15,15
纵横四海,蔡丽,女,潘秀,女,,9.0,21,39
新世纪,田超,男,邱磊,男,西区体育俱乐部,5.0,-4,22
星河万里,范玲,女,方敏,女,野火掼蛋联盟,7.0,11,34
钢铁洪流,邓军,男,肖勇,男,南山掼蛋俱乐部,3.0,-27,9
盛夏光年,姚婷,女,谭丽,女,,7.0,6,33
秋风落叶,柳强,男,易刚,男,奥克兰掼协,7.0,7,37
冬日暖阳,莫芳,女,邹艳,女,,5.0,-8,22
黑桃ACE,秦明,男,任杰,男,东区华人联谊会,7.0,6,34
红心战队,龙伟,男,徐亮,男,风云掼蛋社,3.0,-18,18
梅花三弄,钟静,女,崔霞,女,,7.0,5,32
方块先锋,段超,男,常磊,男,中区康养中心,5.0,1,35
群英荟萃,颜丽,女,乔秀,女,北岸华人协会,7.0,-1,29
卧虎藏龙,赖强,男,贾刚,男,,3.0,-15,21
勇冠三军,尹飞,男,汪峰,男,西区体育俱乐部,5.0,-10,25
春暖花开,陆芳,女,邢艳,女,野火掼蛋联盟,9.0,17,39
一马当先,夏伟,男,季明,男,南山掼蛋俱乐部,5.0,-5,26
风起云涌,姜静,女,石娟,女,,5.0,1,29
虎虎生威,翟强,男,和刚,男,奥克兰掼协,5.0,-8,26
龙马精神,刁军,男,米杰,男,,5.0,-10,23
锦上添花,褚芳,女,卓艳,女,东区华人联谊会,3.0,-7,29
星空战队,温伟,男,向亮,男,,5.0,-11,24
旭日东升,安婷,女,郝丽,女,风云掼蛋社,7.0,10,36
万里挑一,费强,男,阮刚,男,中区康养中心,9.0,17,39
乘风破浪,齐虹,女,殷霞,女,,5.0,4,29
大吉大利,谷飞,男,迟峰,男,北岸华人协会,7.0,3,26
吉祥如意,穆丽,女,薛秀,女,西区体育俱乐部,5.0,-15,18
步步高升,尤超,男,霍磊,男,,7.0,17,33
鸿运当头,涂芳,女,万艳,女,,7.0,-2,32
旗开得胜,巴军,男,舒勇,男,野火掼蛋联盟,9.0,19,39
旭日战队,焦伟,男,耿明,男,,3.0,-22,14
青春无悔,柴静,女,闵娟,女,奥克兰掼协,5.0,-7,18
