队伍名称,队员1,性别1,队员2,性别2,所属俱乐部/社团,当前积分,净积小分,累积小分
南山闪电,张伟,男,李明,男,南山掼蛋俱乐部,1.0,-2,10
雷霆战队,王芳,女,赵丽,女,奥克兰掼协,3.0,2,13
东区虎啸,刘强,男,陈刚,男,东区华人联谊会,1.0,-11,1
风云双雄,杨洋,男,周杰,男,风云掼蛋社,3.0,11,13
中区飞鹰,黄敏,女,吴婷,女,中区康养中心,1.0,-3,9
北岸龙腾,孙磊,男,钱峰,男,北岸华人协会,3.0,3,13
西区猎豹,郑浩,男,马超,男,西区体育俱乐部,3.0,5,13
野火燎原,林小红,女,许艳,女,野火掼蛋联盟,1.0,-5,7
南山雄狮,朱建华,男,胡伟,男,南山掼蛋俱乐部,1.0,-2,10
碧海蓝天,高雪,女,罗丽,女,,3.0,2,13
黄金搭档,谢军,男,唐亮,男,奥克兰掼协,1.0,-12,0
钻石风暴,冯静,女,董娟,女,,3.0,12,13
紫荆花开,吕强,男,丁勇,男,东区华人联谊会,3.0,2,13
雪山飞狐,曹芳,女,魏琳,女,风云掼蛋社,1.0,-2,10
龙行天下,苏伟,男,蒋刚,男,,3.0,12,13
凤舞九天,沈虹,女,韩霞,女,中区康养中心,1.0,-12,0
破浪前行,何飞,男,贺峰,男,北岸华人协会,1.0,-12,0
纵横四海,蔡丽,女,潘秀,女,,3.0,12,13
新世纪,田超,男,邱磊,男,西区体育俱乐部,1.0,-3,9
星河万里,范玲,女,方敏,女,野火掼蛋联盟,3.0,3,13
钢铁洪流,邓军,男,肖勇,男,南山掼蛋俱乐部,1.0,-4,8
盛夏光年,姚婷,女,谭丽,女,,3.0,4,13
秋风落叶,柳强,男,易刚,男,奥克兰掼协,3.0,6,13
冬日暖阳,莫芳,女,邹艳,女,,1.0,-6,6
黑桃ACE,秦明,男,任杰,男,东区华人联谊会,3.0,9,13
红心战队,龙伟,男,徐亮,男,风云掼蛋社,1.0,-9,3
梅花三弄,钟静,女,崔霞,女,,3.0,1,13
方块先锋,段超,男,常磊,男,中区康养中心,1.0,-1,11
群英荟萃,颜丽,女,乔秀,女,北岸华人协会,3.0,7,13
卧虎藏龙,赖强,男,贾刚,男,,1.0,-7,5
勇冠三军,尹飞,男,汪峰,男,西区体育俱乐部,1.0,-2,10
春暖花开,陆芳,女,邢艳,女,野火掼蛋联盟,3.0,2,13
一马当先,夏伟,男,季明,男,南山掼蛋俱乐部,3.0,6,13
风起云涌,姜静,女,石娟,女,,1.0,-6,6
虎虎生威,翟强,男,和刚,男,奥克兰掼协,1.0,-4,8
龙马精神,刁军,男,米杰,男,,3.0,4,13
锦上添花,褚芳,女,卓艳,女,东区华人联谊会,1.0,-2,10
星空战队,温伟,男,向亮,男,,3.0,2,13
旭日东升,安婷,女,郝丽,女,风云掼蛋社,1.0,-2,10
万里挑一,费强,男,阮刚,男,中区康养中心,3.0,2,13
乘风破浪,齐虹,女,殷霞,女,,3.0,12,13
大吉大利,谷飞,男,迟峰,男,北岸华人协会,1.0,-12,0
吉祥如意,穆丽,女,薛秀,女,西区体育俱乐部,1.0,-12,0
步步高升,尤超,男,霍磊,男,,3.0,12,13
鸿运当头,涂芳,女,万艳,女,,1.0,-6,6
旗开得胜,巴军,男,舒勇,男,野火掼蛋联盟,3.0,6,13
旭日战队,焦伟,男,耿明,男,,1.0,-12,0
青春无悔,柴静,女,闵娟,女,奥克兰掼协,3.0,12,13
